"data_deteccao","longitude","latitude","data_quebra","magnitude","r2_historico","n_obs"
"2026-09-04",-44.7845652587304,-20.9664541525286,"2026-06-14",0.073509,0.3667,320
"2026-09-04",-44.7845652587304,-20.9663643210002,"2026-06-04",0.051121,0.3579,319
"2026-09-04",-44.784475427202,-20.9666338155854,"2026-06-14",0.066736,0.3877,319
"2026-09-04",-44.784475427202,-20.966543984057,"2026-06-14",0.066736,0.3877,319
"2026-09-04",-44.7842957641452,-20.9658253318297,"2026-07-24",0.08964,0.4221,318
"2026-09-04",-44.7842957641452,-20.9657355003013,"2026-08-02",0.085591,0.43,320
"2026-09-04",-44.7842957641452,-20.9656456687729,"2026-08-02",0.091952,0.4603,322
"2026-09-04",-44.7842059326168,-20.9658253318297,"2026-07-08",0.116621,0.4106,318
"2026-09-04",-44.7842059326168,-20.9657355003013,"2026-07-29",0.110923,0.4436,321
"2026-09-04",-44.7837567749747,-20.9702270767219,"2026-07-08",-0.007144,0.4192,324
"2026-09-04",-44.7827686281622,-20.9694185929662,"2026-07-14",0.061522,0.3236,321
"2026-09-04",-44.7822296389917,-20.9700474136651,"2026-03-16",0.016282,0.375,323
"2026-09-04",-44.7822296389917,-20.9688796037957,"2026-06-04",0.016143,0.3072,324
"2026-09-04",-44.7822296389917,-20.9687897722673,"2026-05-06",0.01299,0.3084,325
"2026-09-04",-44.7821398074633,-20.9700474136651,"2026-05-29",0.032644,0.3638,320
"2026-09-04",-44.7820499759349,-20.9700474136651,"2026-05-29",0.051988,0.3488,320
"2026-09-04",-44.7819601444065,-20.9700474136651,"2026-05-29",0.02963,0.3368,319
"2026-09-04",-44.7819601444065,-20.9690592668525,"2026-06-04",-0.086109,0.3012,320
"2026-09-04",-44.7818703128781,-20.9700474136651,"2026-06-09",0.035908,0.32,322
"2026-09-04",-44.7818703128781,-20.9690592668525,"2026-05-29",-0.059513,0.302,321
"2026-09-04",-44.7817804813496,-20.9703169082503,"2026-04-30",-0.024775,0.2899,319
"2026-09-04",-44.7817804813496,-20.9702270767219,"2026-06-14",-0.042087,0.3288,320
"2026-09-04",-44.7817804813496,-20.9690592668525,"2026-06-04",-0.06684,0.3044,322
"2026-09-04",-44.7817804813496,-20.9689694353241,"2026-06-04",-0.062591,0.2912,323
"2026-09-04",-44.7816906498212,-20.9704067397787,"2026-04-16",-0.029203,0.2565,319
"2026-09-04",-44.7816906498212,-20.9703169082503,"2026-01-09",-0.043673,0.2791,320
"2026-09-04",-44.7816906498212,-20.9699575821367,"2026-06-23",0.023398,0.3534,321
